,state,county,parameter,year,observation_count,exceptional_data_count,null_observation_count,arithmetic_mean,standard_deviation
0,Alabama,Baldwin,Ozone,2014.0,5176.85,0.0,120.2,0.04164104999999999,0.012011249999999998
1,Alabama,Baldwin,PM2.5 - Local Conditions,2014.0,116.8,0.0,5.2,8.4698946,3.4314197999999996
2,Alabama,Clay,PM2.5 - Local Conditions,2014.0,116.2,0.0,6.2,8.291026399999998,3.646927799999998
3,Alabama,Colbert,Ozone,2014.0,5335.7,0.0,76.6,0.0411345,0.010684699999999998
4,Alabama,Colbert,PM2.5 - Local Conditions,2014.0,118.6,0.0,3.4,8.589856,3.8360459999999996
5,Alabama,DeKalb,Ozone,2014.0,7877.45,0.0,116.85,0.04497009999999999,0.009932149999999999
6,Alabama,DeKalb,PM2.5 - Local Conditions,2014.0,114.0,0.0,7.8,8.929632800000002,3.8133408
7,Alabama,Elmore,Ozone,2014.0,4766.95,0.0,75.05,0.0415552,0.010263650000000003
8,Alabama,Etowah,Ozone,2014.0,5257.5,0.0,97.35,0.042401499999999995,0.010021650000000002
9,Alabama,Etowah,PM2.5 - Local Conditions,2014.0,113.8,0.0,8.0,9.0994916,3.5463803999999994
10,Alabama,Houston,Ozone,2014.0,5324.65,0.0,82.6,0.03952190000000001,0.0108103
11,Alabama,Houston,PM2.5 - Local Conditions,2014.0,117.8,0.0,4.0,8.028497000000002,3.2316363999999993
12,Alabama,Jefferson,Carbon monoxide,2013.8947368421052,7948.0,0.0,385.7631578947368,0.3572411052631579,0.2051062105263158
13,Alabama,Jefferson,Lead PM10 LC FRM/FEM,2014.0,53.9,0.0,1.2,0.013880700000000001,0.0263078
14,Alabama,Jefferson,Nitrogen dioxide (NO2),2014.7142857142858,6603.714285714285,0.0,1018.0,18.346102428571424,9.777275857142856
15,Alabama,Jefferson,Ozone,2013.8918918918919,5619.195945945946,0.0,117.37837837837837,0.04383372297297297,0.011632087837837838
